,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
726,Information and Communication Technologies (ICTs),Internet Systems Development,LC235,205,,,,205,,315,7,Limerick Institute of Technology,,,,,,,,,,,
727,Information and Communication Technologies (ICTs),Internet Systems Development,LC236,262,,260,,260,,272,8,Limerick Institute of Technology,,,,,,,,,,,
728,Information and Communication Technologies (ICTs),Computer Networks and Systems Management,LC239,307,,,,309,,371,8,Limerick Institute of Technology,,,,,,,,,,,
729,Architecture and construction,Construction Management,LC241,255,,,,255,,338,8,Limerick Institute of Technology,,,,,,,,,,,
730,Architecture and construction,Property Valuation and Management,LC242,282,,,,282,,320,8,Limerick Institute of Technology,,,,,,,,,,,
731,Architecture and construction,Quantity Surveying,LC243,294,,,,298,,362,8,Limerick Institute of Technology,,,,,,,,,,,
732,Architecture and construction,Built Environment (Common Entry),LC248,288,,,,288,,376,8,Limerick Institute of Technology,,,,,,,,,,,
733,Architecture and construction,Civil Engineering,LC251,206,,,,206,,377,7,Limerick Institute of Technology,,,,,,,,,,,
734,Architecture and construction,Civil Engineering Management,LC252,270,,,,270,,308,8,Limerick Institute of Technology,,,,,,,,,,,
735,Arts,Interior Design,LC257,264,,,,264,,378,7,Limerick Institute of Technology,,,,,,,,,,,
736,Biological and related sciences,Applied Biology,LC260,326,,,,326,,466,7,Limerick Institute of Technology,,,,,,,,,,,
737,Health,Clinical Technology,LC263,294,,,,294,,359,8,Limerick Institute of Technology,,,,,,,,,,,
738,Physical sciences,Forensic and Pharmaceutical Sciences,LC265,413,,,,413,,476,8,Limerick Institute of Technology,,,,,,,,,,,
739,Environment,Drug and Medicinal Product Analysis,LC266,262,,,,262,,300,8,Limerick Institute of Technology,,,,,,,,,,,
740,Physical sciences,Forensic and Pharmaceutical Sciences,LC267,329,,,,329,,443,7,Limerick Institute of Technology,,,,,,,,,,,
741,Health,Medical Technology,LC268,289,,,,289,,411,7,Limerick Institute of Technology,,,,,,,,,,,
742,Arts,Music Technology and Production,LC270,307,,,,307,,398,7,Limerick Institute of Technology,,,,,,,,,,,
743,Engineering and engineering trades,Electrical Engineering,LC271,261,,,,261,,348,7,Limerick Institute of Technology,,,,,,,,,,,
744,Engineering and engineering trades,Electrical Engineering,LC275,298,,,,298,,384,8,Limerick Institute of Technology,,,,,,,,,,,
745,Arts,Creative Broadcast and Film Production,LC276,297,,,,297,,409,7,Limerick Institute of Technology,,,,,,,,,,,
746,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC277,232,,,,232,,342,7,Limerick Institute of Technology,,,,,,,,,,,
747,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC278,280,,,,280,,387,7,Limerick Institute of Technology,,,,,,,,,,,
748,Engineering and engineering trades,Electronic Engineering,LC279,214,,,,226,,392,7,Limerick Institute of Technology,,,,,,,,,,,
749,Engineering and engineering trades,Automobile Technology,LC281,208,,,,208,,332,6,Limerick Institute of Technology,,,,,,,,,,,
750,Engineering and engineering trades,Precision Engineering,LC283,227,,,,233,,296,7,Limerick Institute of Technology,,,,,,,,,,,
751,Engineering and engineering trades,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",LC284,200,,,,200,,315,6,Limerick Institute of Technology,,,,,,,,,,,
752,Engineering and engineering trades,Mechanical Engineering,LC285,272,,,,272,,455,7,Limerick Institute of Technology,,,,,,,,,,,
753,Engineering and engineering trades,Road Transport Technology and Management,LC286,264,,,,264,,360,7,Limerick Institute of Technology,,,,,,,,,,,
754,Engineering and engineering trades,Mechanical Engineering,LC288,347,,346,,346,,415,8,Limerick Institute of Technology,,,,,,,,,,,
755,Engineering and engineering trades,Precision Engineering,LC289,291,,,,291,,350,8,Limerick Institute of Technology,,,,,,,,,,,
756,Personal services,Community Sport Development,LC290,188,,,,188,,312,7,Limerick Institute of Technology,,,,,,,,,,,
757,Welfare,Social Care Work,LC292,367,,,,367,,389,8,Limerick Institute of Technology,,,,,,,,,,,
758,Personal services,Business Studies with Travel and Tourism Management,LC293,307,,,,307,,356,8,Limerick Institute of Technology,,,,,,,,,,,
759,Personal services,Business Studies with Event Management,LC294,279,,,,279,,347,8,Limerick Institute of Technology,,,,,,,,,,,
760,Business and administration,Business Studies with Sports Management,LC295,252,,,,252,,313,8,Limerick Institute of Technology,,,,,,,,,,,
761,Social and behavioural sciences,Community Development,LC297,235,,,,235,,298,8,Limerick Institute of Technology,,,,,,,,,,,
762,Business and administration,Business,LC320,346,,,,346,,388,8,Limerick Institute of Technology,,,,,,,,,,,
763,Information and Communication Technologies (ICTs),Business with Computing,LC330,297,,,,297,,378,8,Limerick Institute of Technology,,,,,,,,,,,
764,Information and Communication Technologies (ICTs),Computing,LC336,207,,,,222,,337,7,Limerick Institute of Technology,,,,,,,,,,,
765,Arts,Interior Design,LC340,350,,,,350,,391,8,Limerick Institute of Technology,,,,,,,,,,,
766,Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,413,,,,413,,440,8,Limerick Institute of Technology,,,,,,,,,,,
767,Arts,Creative Broadcast and Film Production,LC371,309,,,,309,,378,8,Limerick Institute of Technology,,,,,,,,,,,
768,Arts,Music Technology and Production,LC372,325,,,,325,,402,8,Limerick Institute of Technology,,,,,,,,,,,
769,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,318,,,,318,,410,8,Limerick Institute of Technology,,,,,,,,,,,
770,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,317,,,,317,,392,8,Limerick Institute of Technology,,,,,,,,,,,
771,Engineering and engineering trades,Electronic Engineering,LC376,318,,,,318,,358,8,Limerick Institute of Technology,,,,,,,,,,,
772,Transport services,Automotive Engineering and Transport Management,LC380,303,,298,,298,,337,8,Limerick Institute of Technology,,,,,,,,,,,
773,Personal services,Business Studies in Beauty and Spa Management,LC392,236,,,,236,,328,8,Limerick Institute of Technology,,,,,,,,,,,
774,Welfare,Early Childhood Education and Care,LC393,236,,,,236,,307,8,Limerick Institute of Technology,,,,,,,,,,,
775,Personal services,Culinary Arts,LC398,163,,,,163,,376,7,Limerick Institute of Technology,,,,,,,,,,,
776,Personal services,Hospitality Supervision,LC399,148,,,,148,,300,7,Limerick Institute of Technology,,,,,,,,,,,
777,Welfare,Early Childhood Education and Care,LC401,297,,,,297,,298,8,Limerick Institute of Technology,,,,,,,,,,,
778,Welfare,Social Care Work,LC402,225,,,,225,,288,8,Limerick Institute of Technology,,,,,,,,,,,
779,Environment,Environmental Science and Climate,LC408,279,,,,279,,348,8,Limerick Institute of Technology,,,,,,,,,,,
780,Information and Communication Technologies (ICTs),Data Analytics and Cyber Security,LC414,236,,,,236,,336,8,Limerick Institute of Technology,,,,,,,,,,,
781,Business and administration,Business,LC415,197,,,,197,,444,7,Limerick Institute of Technology,,,,,,,,,,,
782,Business and administration,Business,LC416,274,,,,274,,391,8,Limerick Institute of Technology,,,,,,,,,,,
783,Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,270,,,,270,,338,8,Limerick Institute of Technology,,,,,,,,,,,
784,Personal services,Sports Strength and Conditioning,LC422,298,,,,298,,347,8,Limerick Institute of Technology,,,,,,,,,,,
785,Personal services,Sports Strength and Conditioning,LC423,157,,,,157,,330,7,Limerick Institute of Technology,,,,,,,,,,,
786,Environment,Environmental Science,LC425,278,,,,278,,399,7,Limerick Institute of Technology,,,,,,,,,,,
787,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC428,278,,,,278,,429,7,Limerick Institute of Technology,,,,,,,,,,,
788,Welfare,Early Childhood Education and Care,LC432,144,,,,144,,367,7,Limerick Institute of Technology,,,,,,,,,,,
789,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Environmental Science and Agriculture,LC434,297,,,,297,,349,8,Limerick Institute of Technology,,,,,,,,,,,
790,Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,852,,,,852,,1024,8,Limerick Institute of Technology,#,,,,,,,,,,
791,Information and Communication Technologies (ICTs),Creative Media and Design,LC504,192,,,,192,,378,7,Limerick Institute of Technology,,,,,,,,,,,
792,Information and Communication Technologies (ICTs),Creative Media and Design,LC517,234,,,,234,,327,8,Limerick Institute of Technology,,,,,,,,,,,
793,Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,808,,,,808,,939,8,Limerick Institute of Technology,#,,,,,,,,,,
794,Welfare,Social Care Work,LC602,260,,,,260,,370,7,Limerick Institute of Technology,,,,,,,,,,,
795,Welfare,Early Childhood Education and Care,LC603,147,,,,174,,327,7,Limerick Institute of Technology,,,,,,,,,,,
796,Business and administration,Business,LC605,195,,,,195,,418,7,Limerick Institute of Technology,,,,,,,,,,,
797,Welfare,Social Care Work,LC612,320,,,,320,,343,8,Limerick Institute of Technology,,,,,,,,,,,
798,Welfare,Early Childhood Education and Care,LC613,242,,,,242,,327,8,Limerick Institute of Technology,,,,,,,,,,,
799,Humanities (except languages),Arts,LM002,348,,,,348,,410,8,University of Limerick,,,,,,,,,,,
800,Law,Law and Accounting,LM020,465,,,,465,,499,8,University of Limerick,,,,,,,,,,,
801,Arts,Performing Arts (audition required),LM026,303,,,,303,,401,8,University of Limerick,#,,,,,,,,,,
802,Law,Criminal Justice,LM028,418,,,,418,,440,8,University of Limerick,,,,,,,,,,,
803,Law,Law Plus,LM029,490,,,,490,,521,8,University of Limerick,,,,,,,,,,,
804,Social and behavioural sciences,Psychology and Sociology,LM038,500,,,,500,,507,8,University of Limerick,,,,,,,,,,,
805,Journalism and information,Journalism and Digital Communication,LM039,402,,,,402,,455,8,University of Limerick,,,,,,,,,,,
806,Humanities (except languages),European Studies,LM040,369,,,,369,,488,8,University of Limerick,,,,,,,,,,,
807,Languages,Applied Languages,LM044,442,,,,442,,499,8,University of Limerick,,,,,,,,,,,
808,Business and administration,Business Studies (options),LM050,431,,,,431,,476,8,University of Limerick,,,,,,,,,,,
809,Business and administration,International Business,LM056,528,,,,528,,555,8,University of Limerick,,,,,,,,,,,
810,Mathematics and statistics,Financial Mathematics,LM058,403,,,,403,,521,8,University of Limerick,,,,,,,,,,,
811,Information and Communication Technologies (ICTs),Technology Management,LM063,379,,,,379,,419,8,University of Limerick,,,,,,,,,,,
812,Manufacturing and processing,Food Science and Health,LM068,421,,,,421,,454,8,University of Limerick,,,,,,,,,,,
813,Manufacturing and processing,Product Design and Technology (portfolio required),LM076,408,,,,408,,487,8,University of Limerick,#,,,,,,,,,,
814,Engineering and engineering trades,Aeronautical Engineering,LM077,520,,,,520,,554,8,University of Limerick,,,,,,,,,,,
815,Manufacturing and processing,Construction Management and Engineering,LM082,398,,,,398,,434,8,University of Limerick,,,,,,,,,,,
816,Personal services,Sport and Exercise Sciences,LM089,474,,,,474,,489,8,University of Limerick,,,,,,,,,,,
817,Education,Physical Education with concurrent Teacher Education,LM090,532,*,,,532,*,565,8,University of Limerick,,,,,,,,,,,
818,Education,Languages with concurrent Teacher Education,LM091,517,,,,517,,543,8,University of Limerick,,,,,,,,,,,
819,Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,,,,507,,531,8,University of Limerick,,,,,,,,,,,
820,Biological and related sciences,Equine Science,LM093,339,,,,339,,412,8,University of Limerick,,,,,,,,,,,
821,Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,,,,440,,478,8,University of Limerick,,,,,,,,,,,
822,Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,,,,367,,421,8,University of Limerick,,,,,,,,,,,
823,Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,,,,405,,454,8,University of Limerick,,,,,,,,,,,
824,Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,,,,402,,509,8,University of Limerick,,,,,,,,,,,
825,Architecture and construction,Architecture (portfolio requirement suspended),LM099,498,,,,498,,532,8,University of Limerick,#,,,,,,,,,,
826,Health,Physiotherapy,LM100,589,*,,,589,*,601,8,University of Limerick,,,,,,,,,,,
827,Health,Medicine  - Graduate Entry (GAMSAT required),LM101,55,*,,,55,*,57,8,University of Limerick,#,,,,,,,,,,
828,Social and behavioural sciences,Psychology,LM102,509,,,,509,,529,8,University of Limerick,,,,,,,,,,,
829,Health,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,,,,392,,445,8,University of Limerick,#,,,,,,,,,,
830,Physical sciences,Chemical and Biochemical Engineering,LM115,454,,,,454,,532,8,University of Limerick,,,,,,,,,,,
831,Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,*,,,476,*,521,8,University of Limerick,,,,,,,,,,,
832,Engineering and engineering trades,Electronic and Computer Engineering,LM118,403,,,,403,,489,8,University of Limerick,,,,,,,,,,,
833,Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,,,,351,,423,8,University of Limerick,,,,,,,,,,,
834,Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,,,,327,,401,8,University of Limerick,,,,,,,,,,,
835,Biological and related sciences,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,*,,,441,*,478,8,University of Limerick,,,,,,,,,,,
836,Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,,,,437,,509,8,University of Limerick,,,,,,,,,,,
837,Physical sciences,Physics (Applied Physics or Mathematics & Physics),LM125,404,,,,404,,520,8,University of Limerick,,,,,,,,,,,
838,Health,General Nursing,LM150,475,*,,,475,*,498,8,University of Limerick,,,,,,,,,,,
839,Health,Mental Health Nursing,LM152,419,*,,,419,*,430,8,University of Limerick,,,,,,,,,,,
840,Health,Intellectual Disability Nursing,LM154,420,,,,440,,473,8,University of Limerick,,,,,,,,,,,
841,Health,Midwifery,LM156,469,,,,469,,499,8,University of Limerick,,,,,,,,,,,
842,Biological and related sciences,Equine Science,LM180,337,,,,328,,440,6,University of Limerick,,,,,,,,,,,
843,Business and administration,Business - Common Entry,LY107,161,,161,,161,,358,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
844,Business and administration,Business - Accounting,LY108,309,,,,309,,431,8,Letterkenny Institute of Technology,,,,,,,,,,,
845,Business and administration,Business,LY118,290,,,,290,,377,8,Letterkenny Institute of Technology,,,,,,,,,,,
846,Personal services,Sports Studies,LY206,149,,148,,148,,299,6,Letterkenny Institute of Technology,,avp,,,,,,,,,
847,Law,Law with Criminal Justice,LY207,160,,160,,160,,377,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
848,Law,Law,LY208,300,,,,300,,367,8,Letterkenny Institute of Technology,,,,,,,,,,,
849,Personal services,Sports and Exercise - Common Entry,LY228,300,,,,300,,367,8,Letterkenny Institute of Technology,,,,,,,,,,,
850,Personal services,Culinary Arts,LY317,229,,224,,224,,387,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
851,Personal services,Hospitality And Tourism - Common Entry,LY327,170,,170,,170,,317,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
852,Arts,Design - Common Entry,LY408,320,,,,320,,381,8,Letterkenny Institute of Technology,#,,,,,,,,,,
853,Arts,Digital Film and Video,LY427,172,,170,,172,,307,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
854,Arts,Animation,LY437,198,,223,,198,,387,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,
855,Arts,Fashion with Promotion,LY447,266,,279,,266,,384,7,Letterkenny Institute of Technology,#,avp,,,,,,,,,
856,Arts,Graphic and Digital Design,LY457,179,,204,,189,,356,7,Letterkenny Institute of Technology,#,avp,v,,,,,,,,
857,Architecture and construction,Quantity Surveying,LY507,181,,181,,181,,312,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
858,Architecture and construction,Fire Safety Engineering,LY508,276,,,,276,,326,8,Letterkenny Institute of Technology,,,,,,,,,,,
859,Architecture and construction,Quantity Surveying,LY518,301,,,,301,,368,8,Letterkenny Institute of Technology,,,,,,,,,,,
860,Architecture and construction,Civil Engineering,LY527,165,,163,,163,,329,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
861,Architecture and construction,Construction Management,LY528,271,,,,271,,321,8,Letterkenny Institute of Technology,,,,,,,,,,,
862,Engineering and engineering trades,Electronic Engineering,LY607,160,,,,160,,389,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
863,Engineering and engineering trades,Mechanical Engineering,LY608,300,,,,300,,379,8,Letterkenny Institute of Technology,,,,,,,,,,,
864,Engineering and engineering trades,Mechanical Engineering,LY617,180,,180,,180,,328,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
865,Engineering and engineering trades,Electronic Engineering,LY618,312,,,,312,,402,8,Letterkenny Institute of Technology,,,,,,,,,,,
866,Information and Communication Technologies (ICTs),Computer Games Development,LY707,204,,,,204,,299,7,Letterkenny Institute of Technology,,,,,,,,,,,
867,Information and Communication Technologies (ICTs),Applied Computing,LY708,306,,,,306,,372,8,Letterkenny Institute of Technology,,,,,,,,,,,
868,Information and Communication Technologies (ICTs),Computing,LY717,164,,160,,160,,350,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
869,Information and Communication Technologies (ICTs),Computer Security and Digital Forensics,LY737,169,,169,,169,,348,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
870,Information and Communication Technologies (ICTs),Computer Science,LY748,317,,317,,317,,420,8,Letterkenny Institute of Technology,,avp,,,,,,,,,
871,Health,Pharmacy Technician,LY806,232,,,,232,,377,6,Letterkenny Institute of Technology,,,,,,,,,,,
872,Health,Dental Nursing,LY816,233,,223,,223,,326,6,Letterkenny Institute of Technology,,,,,,,,,,,
873,Biological and related sciences,Bioscience,LY817,248,,,,248,,420,7,Letterkenny Institute of Technology,,,,,,,,,,,
874,Biological and related sciences,Science - Common Entry,LY818,303,,,,303,,409,8,Letterkenny Institute of Technology,,,,,,,,,,,
875,Health,Health Science with Physiotherapy Studies,LY826,456,,401,,339,,445,6,Letterkenny Institute of Technology,,,,,,,,,,,
876,Agriculture,Agriculture - Common Entry,LY828,307,,,,307,,351,8,Letterkenny Institute of Technology,,,,,,,,,,,
877,Health,Health Science with Occupational Therapy Studies,LY836,473,,408,,278,,451,6,Letterkenny Institute of Technology,,,,,,,,,,,
878,Biological and related sciences,Food Science and Nutrition,LY837,194,,194,,194,,388,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
879,Health,Health Science with Dietetics Studies,LY846,316,,316,,291,,462,6,Letterkenny Institute of Technology,,avp,,,,,,,,,
880,Veterinary,Veterinary Nursing,LY847,367,*,367,,367,,399,7,Letterkenny Institute of Technology,,,,,,,,,,,
881,Biological and related sciences,Pharmaceutical & Medicinal Science,LY867,163,,163,,163,,310,7,Letterkenny Institute of Technology,,avp,,,,,,,,,
882,Agriculture,Agriculture,LY877,202,,181,,181,,327,7,Letterkenny Institute of Technology,,,,,,,,,,,
883,Welfare,"Early Childhood Care, Health and Education",LY906,205,,161,,161,,356,6,Letterkenny Institute of Technology,,,,,,,,,,,
884,Health,General Nursing,LY908,400,*,,,400,*,423,8,Letterkenny Institute of Technology,,,,,,,,,,,
885,Health,Health and Social Care,LY916,181,,,,181,,336,6,Letterkenny Institute of Technology,,,,,,,,,,,
886,Health,Psychiatric Nursing,LY918,357,*,,,357,,387,8,Letterkenny Institute of Technology,,,,,,,,,,,
887,Health,Intellectual Disability Nursing,LY928,326,*,,,328,,346,8,Letterkenny Institute of Technology,,,,,,,,,,,
888,Welfare,"Early Childhood Care, Health and Education",LY968,303,,,,303,,361,8,Letterkenny Institute of Technology,,,,,,,,,,,
889,Health,Health & Social Care - Common Entry,LY978,280,,,,280,,330,8,Letterkenny Institute of Technology,,,,,,,,,,,
890,Education,Education - Primary Teaching (Froebel),MH001,507,,,,507,,531,8,Maynooth University,,,,,,,,,,,
891,Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,8,Maynooth University,#,,,,,,,,,,
892,Humanities (except languages),Arts,MH101,318,,,,318,,388,8,Maynooth University,,,,,,,,,,,
893,Arts,Music,MH103,#,,,,#,,#,8,Maynooth University,#,,,,,,,,,,
894,Social and behavioural sciences,Psychology - 3 years,MH106,521,,,,521,,529,8,Maynooth University,,,,,,,,,,,
895,Social and behavioural sciences,Social Science,MH107,346,,,,346,,388,8,Maynooth University,,,,,,,,,,,
896,Arts,Media Studies,MH109,316,,,,316,,377,8,Maynooth University,,,,,,,,,,,
897,Welfare,Community and Youth Work (Full-Time),MH116,#,,,,#,,#,8,Maynooth University,#,,,,,,,,,,
898,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,360,,,,360,,418,8,Maynooth University,,,,,,,,,,,
899,Biological and related sciences,Biotechnology,MH202,455,,,,455,,466,8,Maynooth University,,,,,,,,,,,
900,Biological and related sciences,Biological and Geographical Sciences,MH203,430,,,,430,,465,8,Maynooth University,,,,,,,,,,,
901,Physical sciences,Physics with Astrophysics,MH204,422,,,,422,,479,8,Maynooth University,,,,,,,,,,,
902,Mathematics and statistics,Theoretical Physics and Mathematics,MH206,510,,,,510,,533,8,Maynooth University,,,,,,,,,,,
903,Information and Communication Technologies (ICTs),Data Science,MH207,445,,,,445,,520,8,Maynooth University,,,,,,,,,,,
904,Biological and related sciences,Biological and Biomedical Sciences,MH208,498,,,,498,,510,8,Maynooth University,,,,,,,,,,,
905,Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,498,,,,498,,510,8,Maynooth University,,,,,,,,,,,
906,Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,487,,,,487,,520,8,Maynooth University,,,,,,,,,,,
907,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,,,,422,,487,8,Maynooth University,,,,,,,,,,,
908,Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,333,,333,,333,,444,8,Maynooth University,,avp,,,,,,,,,
909,Engineering and engineering trades,Product Design,MH305,357,,,,357,,409,8,Maynooth University,,,,,,,,,,,
910,Engineering and engineering trades,Robotics and Intelligent Devices,MH306,361,,,,361,,433,8,Maynooth University,,,,,,,,,,,
911,Business and administration,Finance (options),MH401,357,,,,357,,398,8,Maynooth University,,,,,,,,,,,
912,Business and administration,Quantitative Finance,MH402,476,,,,476,,509,8,Maynooth University,,,,,,,,,,,
913,Business and administration,Accounting and Finance,MH403,422,,,,422,,468,8,Maynooth University,,,,,,,,,,,
914,Business and administration,Business (options),MH404,430,,,,430,,454,8,Maynooth University,,,,,,,,,,,
915,Business and administration,Equine Business,MH405,357,,,,357,,408,8,Maynooth University,,,,,,,,,,,
916,Business and administration,Business and Accounting,MH407,420,,,,420,,462,8,Maynooth University,,,,,,,,,,,
917,Business and administration,Entrepreneurship,MH411,371,,,,371,,408,8,Maynooth University,,,,,,,,,,,
918,Law,LLB Law - four year Single Major Law programme,MH501,473,,,,473,,495,8,Maynooth University,,,,,,,,,,,
919,Law,Law (options),MH502,451,,,,451,,473,8,Maynooth University,,,,,,,,,,,
920,Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,352,,,,352,,403,8,Maynooth University,,,,,,,,,,,
921,Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,351,,,,351,,409,8,Maynooth University,,,,,,,,,,,
922,Information and Communication Technologies (ICTs),Computational Thinking,MH603,532,,,,532,,544,8,Maynooth University,,,,,,,,,,,
923,Education,Early Childhood - Teaching and Learning (part-time),MH801,327,,,,327,,378,8,Maynooth University,,,,,,,,,,,
924,Welfare,"Community and Youth Work (part-time, in service)",MH802,#,,#,,#,,,8,Maynooth University,#,avp,,,,,,,,,
925,Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,#,,#,,#,,,8,Maynooth University,#,avp,,,,,,,,,
926,Arts,Contemporary & Applied Theatre Studies,MI001,375,,,,390,,412,8,Mary Immaculate College,,,,,,,,,,,
927,Arts,Arts,MI002,300,,281,,281,,389,8,Mary Immaculate College,,,,,,,,,,,
928,Education,Education - Primary Teaching - International,MI004,577,,,,577,,589,8,Mary Immaculate College,,,,,,,,,,,
929,Education,Education - Primary Teaching,MI005,495,,,,495,,521,8,Mary Immaculate College,,,,,,,,,,,
930,Education,Education - Primary Teaching - Gaeltacht Applicants,MI006,456,,,,462,,519,8,Mary Immaculate College,#,,,,,,,,,,
931,Education,Early Childhood Care and Education,MI007,357,,,,357,,409,8,Mary Immaculate College,,,,,,,,,,,
932,Education,Education and Psychology - Primary Teaching,MI008,588,,,,588,,601,8,Mary Immaculate College,,,,,,,,,,,
933,Education,"Education, Business Studies and Accounting",MI009,402,,,,402,,455,8,Mary Immaculate College,,,,,,,,,,,
934,Education,"Education, Business Studies and Religious Studies",MI010,368,,,,368,,389,8,Mary Immaculate College,,,,,,,,,,,
935,Education,"Education, Gaeilge and Religious Studies",MI011,409,,,,409,,451,8,Mary Immaculate College,,,,,,,,,,,
936,Education,"Education, Gaeilge and Business Studies",MI012,401,,,,401,,463,8,Mary Immaculate College,,,,,,,,,,,
937,Education,"Education, Mathematics and Gaeilge",MI013,444,,,,444,,477,8,Mary Immaculate College,,,,,,,,,,,
938,Education,"Education, Mathematics and Business Studies",MI014,434,,,,434,,487,8,Mary Immaculate College,,,,,,,,,,,
939,Interdisciplinary programmes and qualifications involving arts and humanities,Theology and Arts,MU001,290,,290,,290,,349,8,"Pontifical University, St Patrick's College",,avp,,,,,,,,,
940,Interdisciplinary programmes and qualifications involving arts and humanities,Theology,MU002,440,,,,440,,440,8,"Pontifical University, St Patrick's College",,avp,,,,,,,,,
941,Information and Communication Technologies (ICTs),Computing (Degree Award options),NC003,260,,,,260,,303,8,National College of Ireland (NCI),,,,,,,,,,,
942,Business and administration,Human Resource Management,NC005,300,,,,300,,331,8,National College of Ireland (NCI),,,,,,,,,,,
943,Business and administration,Business,NC009,300,,,,300,,346,8,National College of Ireland (NCI),,,,,,,,,,,
944,Social and behavioural sciences,Psychology,NC010,400,,,,400,,440,8,National College of Ireland (NCI),,,,,,,,,,,
945,Business and administration,Marketing Practice,NC020,280,,,,282,,338,8,National College of Ireland (NCI),,,,,,,,,,,
946,Business and administration,Accounting and Finance,NC022,337,,,,337,,378,8,National College of Ireland (NCI),,,,,,,,,,,
947,Information and Communication Technologies (ICTs),Technology Management (with specialisations),NC023,261,,,,261,,282,8,National College of Ireland (NCI),,,,,,,,,,,
948,Information and Communication Technologies (ICTs),Computing,NC102,220,,,,220,,342,6,National College of Ireland (NCI),,,,,,,,,,,
949,Business and administration,Business,NC103,250,,,,250,,327,6,National College of Ireland (NCI),,,,,,,,,,,
950,Information and Communication Technologies (ICTs),Business Computing,NC104,243,,,,243,,423,6,National College of Ireland (NCI),,,,,,,,,,,
951,Education,Montessori Education,NM701,187,,,,187,,407,7,St Nicholas Montessori College Ireland,,,,,,,,,,,
952,Education,Montessori Education,NM801,220,,,,220,,290,8,St Nicholas Montessori College Ireland,,,,,,,,,,,
953,Humanities (except languages),Arts and Humanities,PC402,200,,121,,80,,368,7,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
954,Welfare,Applied Social Studies - Professional Social Care,PC404,217,,197,,175,,269,7,"Carlow College, St. Patrick`s",,,,,,,,,,,
955,Social and behavioural sciences,"Social, Political and Community Studies",PC405,253,,216,,216,,311,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
956,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,252,,209,,209,,300,8,"Carlow College, St. Patrick`s",,avp,,,,,,,,,
